Title,Description,Map Link,Active,Room Location,Asset,Desk Location,Capacity,RoomPicture,Division,POC,VTel,Projector/TV,Smart Board,SecondPOC,Floor,Created By
"Bldg. 8, RM105",,,1,"Bldg. 8, RM105",Room,,,,,,,,,,,"lastName, firstName A."
"Bldg. 8, RM105, Desk 1",,,1,"Bldg. 8, RM105",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 8, RM105, Desk 2",,,1,"Bldg. 8, RM105",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 8, RM105, Desk 3",,,1,"Bldg. 8, RM105",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 8, RM105, Desk 4",,,1,"Bldg. 8, RM105",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 8, RM105, Desk 5",,,1,"Bldg. 8, RM105",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 8, RM105, Desk 6",,,1,"Bldg. 8, RM105",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 8, RM105, Desk 7",,,1,"Bldg. 8, RM105",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 8, RM105, Desk 8",,,1,"Bldg. 8, RM105",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 8, RM105, Desk 9",,,1,"Bldg. 8, RM105",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 8, RM105, Desk 10",,,1,"Bldg. 8, RM105",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 8, RM105, Desk 11",,,1,"Bldg. 8, RM105",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 8, RM105, Desk 12",,,1,"Bldg. 8, RM105",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 8, RM105, Desk 13",,,1,"Bldg. 8, RM105",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 8, RM105, Desk 14",,,1,"Bldg. 8, RM105",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 8, RM105, Desk 15",,,1,"Bldg. 8, RM105",Desk,,,,,,,,,,,"lastName, firstName A."
